Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
557,ستاری پیامبرمركزی,148,16,3,1,1,1,1,1,17,دردست اقدام,"کولر,آسانسور,چیلر,گاز",سنگ,105000000,15540000000
558,جنت آباد شمالی خ امام حسین,71,2,2,20,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر,94366000,6700000000
559,زعفرانیه خ ماكوئی پور,500,6,4,2,1,1,1,1,10,شخصي,"کولر,آسانسور,گاز",سنگ,450000000,225000000000
560,هنگام نرسیده به بلوار كاظمی,73,4,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,78080000,5700000000
561,فرجام خ داروخانه,68,2,1,0,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,99260000,6750000000
562,خ دماوند خ اشراقی خ غفاری,66,3,1,17,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,62121000,4100000000
563,شهرك غرب بلوار دریا خ مطهری جنوبی,117,4,3,17,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,140000000,16380000000
564,میدان رسالت خ طرقی,60,1,2,18,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,88330000,5300000000
565,سعادت آباد بالاتر از میدان كاج,100,5,2,12,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,220000000,22000000000
566,گلبرگ خ مسیل باختر,50,1,1,14,0,0,0,0,4,شخصي,"کولر,گاز",سنگ,68000000,3400000000
567,شیخ بهائی شهرك والفجر,120,1,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,95833000,11500000000
568,دلاوران تكاوران,115,7,2,5,1,1,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,80000000,9200000000
569,آرژانتین نرسیده به خ الوند,115,2,2,17,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,107000000,12305000000
570,سعادت آباد نرسیده به میدان كتاب,136,8,3,3,1,1,1,1,13,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سيمان,113970000,15500000000
571,دلاوران تكاوران جنوبی,56,2,1,11,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,75000000,4200000000
572,گیشا كوچه نصر,89,5,2,9,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,148651000,13230000000
573,پیروزی خ شكوفه,50,4,1,25,0,1,0,0,4,شخصي,"شوفاژ,کولر",آجر سه سانت,47000000,2350000000
574,مجیدیه جنوبی خ استاد حسن بنا جنوبی,91,2,2,21,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,76923000,7000000000
