Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
7448,گلبرگ غربی خ ابراهیم نژاد,58,3,2,9,0,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,56896000,3300000000
7449,پاسداران خ كوهستان,90,3,2,3,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,120000000,10800000000
7450,یوسف آباد خ جهان آراء,60,3,2,20,0,0,0,1,3,شخصي,"کولر,پکیج",سنگ,75000000,4500000000
7451,بلواركشاورز نرسیده به بزرگمهر,82,2,2,30,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,57926000,4750000000
7452,پاسداران خ گلستان,230,5,4,14,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,105000000,24150000000
7453,میرداماد نرسیده به خ حصاری,170,2,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,150000000,25500000000
7454,حسن آباد خ حافظ خ جامی خ میردامادی,82,2,2,30,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور",سنگ,48780000,4000000000
7455,تهرانپارس خ استخر,60,2,1,2,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,55000000,3300000000
7456,جشنواره خ امین,50,0,1,6,0,1,0,0,3,قولنامه اي,"شوفاژ,کولر,گاز",سنگ,22000000,1100000000
7457,سراج خ سروش,108,2,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,60000000,6480000000
7458,سعادت آباد بالاتر از میدان كتاب,80,1,2,16,0,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,67500000,5400000000
7459,اوین دركه خ احمدپور,280,3,4,3,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,220000000,61600000000
7460,دلاوران تكاوران شمالی,50,1,1,14,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,59700000,2985000000
7461,شهرزیبا بلوار تعاون شهرك اندیشه شمالی,60,2,1,12,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,83333000,5000000000
7462,هنگام خ شمیران نو میدان ابوذر,85,1,1,20,0,0,0,1,3,شخصي,"شوفاژ,کولر,گاز",آجر,35294000,3000000000
7463,مجیدیه جنوبی انتهای خ استاد حسن بنا,101,1,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,55000000,5555000000
7464,مجیدیه جنوبی خ كرمان خ صافی,95,3,3,9,1,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج",سنگ,54736000,5200000000
7465,گیشا بالاتر از خ 36,205,2,4,25,0,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",سنگ,225000000,46125000000
7466,جمالزاده شمالی بالاتراز فرصت,80,2,2,7,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,75000000,6000000000
7467,الهیه نرسیده به تامین اجتماعی,223,7,3,8,1,0,1,1,7,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,143497000,32000000000
7468,تجریش خ خسرو خ امیرسلام خ جعفرآباد,143,1,3,30,1,1,0,0,2,شخصي,"شوفاژ,کولر,گاز",سنگ,80419000,11500000000
7469,سبلان شمالی خ عبدیلی ك احمد روشنی,88,5,2,0,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج",سنگ,55000000,4840000000
7470,الهیه خ استانبول,240,1,3,11,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,262000000,62880000000
7471,مینی سیتی شهرك محلاتی خ توحید,84,5,2,30,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",آجر,95238000,8000000000
7472,دربند سازمان آب خ فاخری,160,6,3,2,1,1,1,1,9,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,55000000,8800000000
7473,دربند سازمان آب خ فاخری,100,3,2,2,1,1,1,1,9,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,55000000,5500000000
7474,دربند سازمان آب خ فاخری,120,4,2,2,1,1,1,1,9,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,55000000,6600000000
7475,دربند خ گلابدره,65,6,1,0,0,1,1,1,8,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,39230000,2550000000
7476,ازگل اراج خ لنگری,147,3,3,28,1,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",آجر,78230000,11500000000
7477,سبلان شمالی خ محسن آزادی,40,1,1,14,0,1,0,0,4,شخصي,"کولر,حیاط,گاز",سنگ,55000000,2200000000
7478,وحیدیه نرسیده به ك اشتری,73,4,2,20,0,1,0,0,4,شخصي,"کولر,پکیج",سنگ,35616000,2600000000
7479,وحیدیه خ داوودی,73,1,2,19,0,1,0,0,3,شخصي,"شوفاژ,کولر,حیاط خلوت",آجر,43835000,3200000000
7480,جنت آباد خ شاهین شمالی,70,1,2,19,1,0,0,1,4,شخصي,"شوفاژ,کولر",آجر سه سانت,78571000,5500000000
7481,جنت آباد جنوبی ك سوم,108,1,2,21,1,1,0,1,4,شخصي,"شوفاژ,کولر,حیاط خلوت",سنگ,76851000,8300000000
7482,كن سولقان سنگان,165,2,2,0,1,1,1,1,6,قولنامه اي,"شوفاژ,کولر,آسانسور",سنگ,50000000,8250000000
7483,ونك خ خدامی,80,3,2,22,1,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",رومي,92500000,7400000000
7484,سعادت آباد ابتدای بلوار فرهنگ,153,4,3,19,1,0,1,1,7,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,114705000,17550000000
7485,اشرفی اصفهانی باغ فیض خ 22 بهمن خ كافی ماسوله(جنت),88,3,2,1,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,96590000,8500000000
7486,سعادت آباد خ بخشایش,93,0,2,22,0,0,0,1,5,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,80645000,7500000000
7487,جنت آباد جنوبی چهارباغ غربی,90,4,2,3,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,82222000,7400000000
7488,سعادت آباد خ جمشیدی,126,1,2,3,1,1,1,1,8,شخصي,"کولر,آسانسور,گاز",سنگ,180000000,22680000000
7489,پیروزی بلوار ابوذر پل سوم,130,4,3,8,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,73076000,9500000000
7490,پیروزی مترو ابن سینا لاین كندرو,90,5,2,3,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,42000000,3780000000
7491,پیچ شمیران خ روشندلان,54,1,1,16,1,1,0,1,4,شخصي,"کولر,حیاط,گاز",ترکیبی,59259000,3200000000
7492,پیروزی خ 21 متری دهقان,141,1,3,2,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,65248000,9200000000
7493,میدان امام حسین خ صفا غربی,53,4,1,14,1,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,56603000,3000000000
7494,پیروزی خ مخبرشمالی,69,2,2,20,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,35000000,2415000000
7495,بزرگراه محلاتی خ گلشناس خ پوردكان شمالی ك سید جعفری پ 4 واحد9,57,5,1,12,1,0,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,51000000,2907000000
7496,پیروزی خ پورعبدی,41,2,1,15,0,1,0,0,3,شخصي,"کولر,گاز",آجر سه سانت,43902000,1800000000
7497,پیروزی خ نبردشمالی,73,3,2,15,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,46575000,3400000000
7498,پیروزی خ نبردشمالی,54,4,1,15,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,48148000,2600000000
7499,اشرفی اصفهانی پیامبر شرقی,104,5,2,10,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,88461000,9200000000
7500,میدان شهدا خ خورشید خ بهنام,157,3,3,8,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,54770000,8600000000
7501,میرداماد خ حصاری خ كوشا,190,2,3,10,1,1,1,1,5,شخصي,"آسانسور,چیلر",سنگ,100000000,19000000000
7502,بلوار ابوذر جنوبی خ بهشتی ك 21 رز نهم پ 13واحد7,75,4,2,20,1,0,0,0,4,شخصي,"کولر,گاز",سنگ,37333333,2800000000
7503,بزرگراه محلاتی خ میثم مجتمع عباسپور بلوك C14 واحد 6,75,2,2,25,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,42666000,3200000000
7504,میدان امام حسین خ منتظری,67,5,2,10,0,0,1,0,5,شخصي,"کولر,آسانسور,گاز",سنگ,44477000,2980000000
7505,بزرگراه محلاتی خ مخبرجنوبی ك امام زمان,93,2,2,12,1,1,0,0,3,شخصي,"کولر,گاز",سنگ,33870000,3150000000
7506,بلوار فردوس شرق خ وفاآذر جنوبی,100,2,2,0,1,1,1,1,7,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,82000000,8200000000
7507,بلوار فردوس شرق خ علی حسینی,78,1,2,8,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,82050000,6400000000
7508,پیروزی خ پاسدار گمنام خ قیام شمالی,63,2,1,20,1,0,1,0,4,شخصي,"کولر,آسانسور,گاز",سنگ,42857000,2700000000
7509,اشرفی اصفهانی بالاتر از نیایش,95,2,2,7,1,1,1,0,9,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,74736000,7100000000
7510,حكیمیه بلوار بهار,75,2,1,9,0,1,1,1,9,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,42000000,3150000000
7511,تهرانپارس بلوارپروین بین بلوار شاهد و 131,78,2,2,10,1,1,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,57692000,4500000000
7512,تهرانپارس خ 148,78,1,2,30,1,1,0,1,3,شخصي,"کولر,حیاط,پکیج,گاز",سنگ,115384000,9000000000
7513,تهران پارس خ استخر خ 244 شرقی,97,5,2,5,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,60824000,5900000000
7514,تهرانپارس خ 160 غربی,71,1,2,25,0,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",رومي,78873000,5600000000
7515,جشنواره خ احسان خ 17,45,3,1,4,0,0,0,0,4,قولنامه اي,"کولر,گاز",سنگ,15550000,700000000
7516,سئول نیایش,122,0,2,15,0,0,1,0,7,شخصي,"کولر,فن کوئر,آسانسور,گاز",سيمان,70000000,8540000000
7517,جردن نرسیده به خ سعیدی,106,3,2,3,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,140094000,14850000000
7518,شهرك اكباتان برج افق اكباتان بلوك OP,127,3,2,1,1,1,1,1,4,دردست اقدام,"شوفاژ,کولر,آسانسور,گاز",سنگ,73860000,9380000000
7519,طرشت بلوارصالحی,120,1,3,1,1,1,1,0,5,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,75000000,9000000000
7520,ظفر بلوار آرش,109,3,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,125000000,13625000000
7521,شهرآرا خ كوكب,101,3,2,21,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,54455000,5500000000
7522,ستارخان خ پاكستان,110,1,3,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,90000000,9900000000
7523,میرداماد خ كازرون,121,1,3,20,1,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",سيمان,100000000,12100000000
7524,اكباتان كوی بیمه یكم مجتمع مهر,132,1,2,10,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,65000000,8580000000
7525,ستارخان خ جهانی نصب,104,3,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100961000,10500000000
7526,ستارخان بین شادمان خ بهبودی,110,3,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",ترکیبی,83000000,9130000000
7527,دریان نو خ زنجان شمالی,118,3,3,30,0,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",سنگ,66101000,7800000000
7528,تهران ویلا نرسیده به خ صفویان,96,1,2,15,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,72916000,7000000000
7529,ولیعصر بالاتراز پارك ساعی,135,3,3,30,1,0,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,66666000,9000000000
7530,شمس آباد خ شهید كرد,61,4,1,8,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,69672000,4250000000
7531,صادقیه فلكه دوم,101,4,2,21,1,0,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,54455000,5500000000
7532,شمس آبادخ ریحانی جنوبی,154,2,3,3,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",ترکیبی,90000000,13860000000
7533,بلوار فردوس غرب خ پروانه شمالی,63,3,2,21,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر,72539000,4570000000
7534,بلوار مرزداران خ ناهید,78,1,2,3,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,89743000,7000000000
7535,تهرانپارس میدان پروین خ 192 شرقی,66,1,1,20,0,1,0,0,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,46969000,3100000000
7536,پونك خ چهاردیواری خ مخابرات,63,4,2,12,1,0,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",تراورتن,100000000,6300000000
7537,ستاری پیامبر مركزی خ مطهری,92,4,2,18,1,1,0,1,4,شخصي,"شوفاژ,کولر",سنگ,63043000,5800000000
7538,معلم خ مرودشت,82,3,2,2,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,75000000,6150000000
7539,اشرفی اصفهانی باغ فیض خ 22 بهمن,87,1,2,3,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,85000000,7395000000
7540,پیروزی خ فرزانه,80,3,1,16,0,1,0,1,5,شخصي,"کولر,گاز",آجر سه سانت,33750000,2700000000
7541,پلیس روبروی موزه قصر,43,4,1,16,0,0,0,1,4,شخصي,"کولر,گاز",آجر سه سانت,58139000,2500000000
7542,میدان شهدا خ كفایی امانی,56,1,1,4,0,0,1,0,5,شخصي,"کولر,آسانسور,پاسیو,پکیج",ترکیبی,57142000,3200000000
7543,اختیاریه جنوبی ك شهید بختیاری,63,3,2,16,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,96825000,6100000000
7544,اشرفی اصفهانی خ شهرك نفت,75,2,2,6,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,100000000,7500000000
7545,نامجو خ سلمان فارسی,55,1,1,29,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,38181000,2100000000
7546,سبلان شمالی خ نوری,45,1,1,20,0,0,0,0,3,شخصي,"کولر,گاز",سنگ,51111000,2300000000
7547,سعادت آّباد بالاتراز میدان كاج,129,2,2,3,1,1,1,1,5,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,186046000,24000000000
7548,دروس خ یار محمدی,124,2,3,18,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",رومي,140000000,17360000000
7549,دارآباد خ پورابتهاج,190,4,3,12,1,1,1,1,5,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,100000000,19000000000
7550,مینی سیتی شهرك صدف,125,1,3,12,1,1,1,1,8,تعاوني,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,76000000,9500000000
7551,گلبرگ غربی خ نوروزی فرد شمالی,58,4,2,8,0,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,45000000,2610000000
7552,فرجام خ حیدرخانی,85,4,2,4,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,70588000,6000000000
7553,نیاوران خ گل سنگ,200,10,4,3,1,1,1,1,12,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,220000000,44000000000
7554,وحیدیه میدان تسلیحات,65,4,2,7,0,1,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,46153000,3000000000
7555,الهیه خ كامران,322,4,3,5,1,1,1,1,9,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,270186000,87000000000
7556,نیاوران خ ضلع شمال كاخ خ شفیعی,135,4,3,10,1,0,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,118000000,15930000000
7557,نارمك خ 46 متری غربی خ طاهری,57,3,1,25,0,1,0,0,4,شخصي,"کولر,پکیج,گاز",آجر,58771000,3350000000
7558,سبلان شمالی مسیل باختر خ حیدری,50,2,1,20,0,1,0,0,3,شخصي,"شوفاژ,کولر,گاز",آجر,46000000,2300000000
7559,نارمك خ آیت,109,3,2,1,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,68807000,7500000000
7560,هنگام بلوار كاظمی,111,3,3,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر,40540000,4500000000
7561,حكیمیه بلواربهار,66,9,1,10,1,1,1,1,14,تعاوني,"شوفاژ,کولر,آسانسور,گاز",ترکیبی,50760000,3350000000
7562,شهران فلكه اول,112,2,3,21,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,62500000,7000000000
7563,دركه خ سیزده چنار,137,1,2,30,0,0,0,1,2,قولنامه اي,"کولر,گاز",سنگ,40145000,5500000000
7564,شهرك راه آهن كوهك,225,3,3,4,0,0,1,1,22,تعاوني,"کولر,آسانسور,گاز",کنيتکس,64444000,14500000000
7565,قلهك خ یخچال,151,6,3,2,1,1,1,1,8,شخصي,"کولر,آسانسور,گاز",سنگ,140000000,21140000000
7566,دیباجی جنوبی خ مژگان,155,3,3,0,1,1,1,1,6,شخصي,"آسانسور,پکیج",سنگ,116129000,18000000000
7568,بلوار فردوس غرب خ سازمان برنامه جنوبی,100,3,2,4,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,78000000,7800000000
7569,فرحزاد بلوار ایثارگران,136,1,3,30,1,1,0,1,2,شخصي,"کولر,حیاط,پکیج,گاز",آجر سه سانت,117647000,16000000000
7570,پیروزی فلكه اول مقداد,65,3,1,15,1,0,0,0,4,شخصي,"شوفاژ,کولر",سنگ,57692000,3750000000
7571,حكیم جنب زیرگذر باكری,118,5,2,12,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,76271000,9000000000
7572,اشرفی اصفهانی بالاتر از میدان پونك,128,3,3,24,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,82031000,10500000000
7573,پیروزی خ نبرد شمالی خ صاحب الزمان,108,1,2,10,1,0,1,0,5,شخصي,"کولر,آسانسور,پکیج",سنگ,58333000,6300000000
7574,سراج والاییان,68,1,1,12,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,51760000,3520000000
7575,زعفرانیه خ آصف,134,2,3,20,1,1,0,1,3,شخصي,"شوفاژ,کولر,گاز",سنگ,200000000,26800000000
7576,نامجو خ اكبرنژاد,44,3,1,9,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج",سنگ,59000000,2596000000
7577,نیرو هوایی خ اول,75,2,2,20,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,58666000,4400000000
7578,معلم مرودشت,65,1,1,30,0,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,46153000,3000000000
7579,تهران پارس خ 222 غربی,85,4,2,16,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,39410000,3350000000
7580,تهران پارس گلبرگ,105,2,2,19,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,68000000,7140000000
7581,ولیعصر بالاتر از طالقانی,135,4,2,6,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,76296000,10300000000
7582,پیروزی خ شهبازی پشت اداره برق,43,2,1,23,0,1,0,0,4,شخصي,"کولر,گاز",آجر سه سانت,48837000,2100000000
7583,تهران نو خ امامت,94,2,2,9,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",کلاسيک,63191000,5940000000
7584,تهران پارس خ استخر,125,3,2,1,1,1,1,0,6,شخصي,"شوفاژ,آسانسور,گاز",سنگ,58000000,7250000000
7585,تهرانپارس بلوار پروین خ 212,87,3,2,20,0,0,0,1,4,قولنامه اي,"شوفاژ,کولر,گاز",سنگ,28730000,2500000000
7586,بزرگراه ارتش شهرك قائم فاز 2,140,2,3,15,1,1,1,1,5,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,78571000,11000000000
7587,مینی سیتی شهرك نفت,127,2,3,0,1,0,1,0,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,120000000,15240000000
7588,تهرانپارس فلكه سوم خ 188,111,5,2,0,1,1,1,1,5,شخصي,"آسانسور,گاز",سنگ,87920000,9760000000
7589,نارمك میدان 86,52,1,1,19,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,62500000,3250000000
7590,جشنواره شهرك فیلیپس,47,2,1,13,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,58510000,2750000000
7591,دربند گلابدره باغ شاطر,85,2,2,13,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,92941000,7900000000
7593,نیرو هوایی خ دوم,260,1,4,0,1,1,1,1,6,دردست اقدام,"فن کوئر,آسانسور,استخر,چیلر,سونا,جکوزی",سنگ,140000000,36400000000
7594,تهران پارس میدان شاهد خ شادآلویی شمالی,60,4,1,20,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,48330000,2900000000
7595,دركه خ احمدپور خ مفیدی,107,2,2,3,1,1,1,1,5,شخصي,"آسانسور,حیاط,مستخدم,چیلر,پکیج,گاز",سنگ,135000000,14445000000
7596,شهرك غرب بلوار دادمان,130,4,2,18,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",رومي,90000000,11700000000
7597,بلوارمرزداران خ طالقانی,90,1,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,100000000,9000000000
7598,جمالزاده شمالی بالاتر از باقرخان,98,2,2,30,1,1,0,1,3,شخصي,"شوفاژ,کولر",سنگ,66326000,6500000000
7599,تهران پارس خ استخر,60,4,1,16,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,60000000,3600000000
7600,تهران پارس خ 216 غربی,95,1,2,12,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,77890000,7400000000
7601,امیرآباد كارگر شمالی روبروی بیمارستان قلب,140,3,3,30,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,50000000,7000000000
7602,هفده شهریور شمالی خ صفا غربی,80,2,2,30,0,0,0,1,4,شخصي,"کولر,گاز",سنگ,31250000,2500000000
7603,تهران پارس بین 105و باقری,65,4,1,21,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,64610000,4200000000
7604,بلوار ابوذر جنوبی نرسیده به پل چهارم خ پاكزاد ك سوم غربی,130,1,3,17,1,1,0,1,3,شخصي,"کولر,گاز",سنگ,56923000,7400000000
7605,اتوبان بابایی شهرك شهید بهشتی,97,10,2,0,1,1,1,1,20,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سيمان,61850000,6000000000
7606,تهران نو خ بلال حبشی,125,4,3,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,44000000,5500000000
7607,اتوبان بابایی شهرك شهپریان,90,8,2,4,1,1,1,1,10,تعاوني,"کولر,آسانسور,پکیج,گاز",سنگ,72220000,6500000000
7608,اتوبان بابایی شهرك بهشتی,97,15,2,0,1,1,1,1,19,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سيمان,57730000,5600000000
7609,پیروزی خ نبردشمالی,75,2,2,16,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,48000000,3600000000
7610,بلوار فردوس شرق خ گلستان شمالی,112,1,2,8,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",تراورتن,90178000,10100000000
7611,بلوارابوذرجنوبی پل ششم خ بهشتی پ 29 واحد6,57,3,1,18,0,1,0,1,4,شخصي,"کولر,گاز",آجر سه سانت,43859000,2500000000
7612,پیروزی خ شكوفه,80,1,2,13,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,60000000,4800000000
7613,تهرانپارس خ استقلال,90,1,2,5,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,63880000,5750000000
7614,پیروزی بعداز بلوار نیكنام,107,1,2,0,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,49532000,5300000000
7615,انتهای همت غرب تقاطع پژوهش,126,13,2,0,1,1,1,1,30,تعاوني,"آسانسور,پکیج",ترکیبی,63492000,8000000000
7616,شهرزیبا خ شهید عسجدی,80,1,1,30,0,0,0,1,4,شخصي,"کولر,گاز",آجر,56875000,4550000000
7617,تهرانپارس فلكه سوم,110,1,2,30,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,65450000,7200000000
7618,پیروزی خ بروجردی,128,3,3,10,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,75000000,9600000000
7619,پیروزی خ 400 دستگاه,94,3,2,13,0,1,0,1,4,شخصي,"کولر,گاز",سنگ,37234000,3500000000
7620,بنی هاشم خ حافظ شرقی,98,2,2,11,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,مستخدم",سنگ,77551000,7600000000
7621,پونك عدل,126,7,3,10,1,1,1,1,9,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,87301000,11000000000
7622,شمس آباد نرسیده به ك ذاكری,66,3,1,11,0,0,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,72727000,4800000000
7623,جردن نرسیده به خ یزدان پناه,200,1,3,20,0,0,0,0,3,شخصي,"شوفاژ,کولر,گاز",سنگ,135000000,27000000000
7624,شهرك راه آهن شهرك گلستان,165,2,3,0,1,1,1,1,3,شخصي,"کولر,آسانسور,گاز",سنگ,105000000,17325000000
7625,مطهری خ میرعماد,105,3,2,22,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,70000000,7350000000
7626,جنت آباد شمالی خ بهارستان,61,4,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,72131000,4400000000
7627,شمس آباد بلوار بیژن,129,4,2,22,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,50387000,6500000000
7628,مجیدیه جنوبی خ استاد حسن بنا جنوبی,140,5,2,0,1,0,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,55000000,7700000000
7629,سعادت آباد آسمانها,88,-1,2,12,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور",سنگ,75000000,6600000000
7630,میرداماد خ نفت شمالی,247,4,3,30,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",رومي,97165000,24000000000
